2023-11-19 17:37:51,719 - root - INFO - Epoch 29; loss: 13.422039985656738; CER: 0.892776608467102; WER: 1.0; val_loss: 12.740873336791992; val_CER: 0.879807710647583; val_WER: 1.0
2023-11-19 17:38:00,729 - root - INFO - Epoch 30; loss: 13.286026000976562; CER: 0.8878205418586731; WER: 1.0; val_loss: 12.089319229125977; val_CER: 0.848557710647583; val_WER: 1.0
2023-11-19 17:38:10,833 - root - INFO - Epoch 31; loss: 13.0503568649292; CER: 0.87232905626297; WER: 1.0; val_loss: 11.925288200378418; val_CER: 0.8653846383094788; val_WER: 1.0
2023-11-19 17:38:22,219 - root - INFO - Epoch 32; loss: 12.944599151611328; CER: 0.8619123697280884; WER: 1.0; val_loss: 12.233541488647461; val_CER: 0.879807710647583; val_WER: 1.0
2023-11-19 17:38:36,736 - root - INFO - Epoch 33; loss: 12.6610689163208; CER: 0.8557692170143127; WER: 1.0; val_loss: 11.656453132629395; val_CER: 0.838942289352417; val_WER: 1.0
2023-11-19 17:38:48,454 - root - INFO - Epoch 34; loss: 12.552075386047363; CER: 0.8469551205635071; WER: 1.0; val_loss: 11.162939071655273; val_CER: 0.8365384340286255; val_WER: 1.0
2023-11-19 17:39:08,796 - root - INFO - Epoch 35; loss: 12.219925880432129; CER: 0.838942289352417; WER: 1.0; val_loss: 11.142675399780273; val_CER: 0.817307710647583; val_WER: 0.9903846383094788
2023-11-19 17:39:15,804 - root - INFO - Epoch 36; loss: 12.034395217895508; CER: 0.8269230723381042; WER: 0.9989316463470459; val_loss: 10.914153099060059; val_CER: 0.8004807829856873; val_WER: 1.0
2023-11-19 17:39:29,525 - root - INFO - Epoch 37; loss: 11.751121520996094; CER: 0.8031517267227173; WER: 1.0; val_loss: 10.32318115234375; val_CER: 0.7716346383094788; val_WER: 1.0
2023-11-19 17:39:47,553 - root - INFO - Epoch 38; loss: 11.710663795471191; CER: 0.7964743375778198; WER: 0.997863233089447; val_loss: 9.707212448120117; val_CER: 0.7379807829856873; val_WER: 0.9903846383094788
2023-11-19 17:39:58,099 - root - INFO - Epoch 39; loss: 11.38624095916748; CER: 0.7836538553237915; WER: 0.9989316463470459; val_loss: 9.797209739685059; val_CER: 0.7163461446762085; val_WER: 0.9903846383094788
2023-11-19 17:40:15,035 - root - INFO - Epoch 40; loss: 11.238669395446777; CER: 0.78125; WER: 0.997863233089447; val_loss: 9.675105094909668; val_CER: 0.7067307829856873; val_WER: 0.9903846383094788
2023-11-19 17:40:24,016 - root - INFO - Epoch 41; loss: 10.906558990478516; CER: 0.750534176826477; WER: 0.9967948794364929; val_loss: 9.039671897888184; val_CER: 0.682692289352417; val_WER: 0.9903846383094788
2023-11-19 17:40:30,173 - root - INFO - Epoch 42; loss: 10.78383731842041; CER: 0.752136766910553; WER: 0.992521345615387; val_loss: 9.642326354980469; val_CER: 0.7115384340286255; val_WER: 1.0
2023-11-19 17:40:44,556 - root - INFO - Epoch 43; loss: 10.473505973815918; CER: 0.7387820482254028; WER: 0.997863233089447; val_loss: 8.903589248657227; val_CER: 0.6466346383094788; val_WER: 0.9903846383094788
